name,line
Jake," Welcome to the party, pal!"
Amy," God, you love that movie."
Jake, It's Die Hard.
JAKE, Okay -- you take the little one on the
CHARLES, No way I’m arresting Santa. Can’t do it.
Reveal, TWO SANTA CLAUSES are BRAWLING.
JAKE," You gotta do it. Santa breaks the law,"
CHARLES, No. Even your cool cop talk can’t
JAKE," Fine. Then I’m going in alone. (to the Santas) NYPD! Santa, stop hitting Santa! The Santas stop."
JAKE, (CONT’D)
LITTLE SANTA," I been on this corner for six years, and"
BIG SANTA," You don’t own the corner. I got a charity, too."
LITTLE SANTA, “Canine diabetes?” Who cares about fat dogs?!
BIG SANTA, They can’t give themselves shots! They have paws!
JAKE," All right, calm down. Boyle, frisk the skinny one. BROOKLYN NINE-NINE ""Christmas"" Pink Revised Pages 10/15/13 1."
CHARLES, I’m not frisking Santa.
JAKE," Fine. I’ll do it. But if I find any presents, I’m keeping them."
JAKE," Aaargh! Get Santa off me! God, you reek of booze Big Santa gets involved, then Charles -- it’s a melée. Jake tries to pry Big Santa off Charles."
JAKE," Wha-- aw, gross, there’s burrito in his beard!"
CHARLES," Punch Santa! Punch him in his fat, cherry cheeks! Jake punches Big Santa. Little Santa pulls out a knife and faces Jake."
JAKE," Knife! Santa has a knife! From behind, Charles KICKS Little Santa in the nuts. He goes down."
CHARLES, That’s right! Boom! I just kicked Santa in the testicles!
CHARLES, ...Merry Christmas!
AMY, You look happy. Let me guess: your egg sandwich fell on the floor and they gave it to you for free?
JAKE, No. They do that? Why doesn’t everyone just drop their sandwich on the floor?
AMY, I was trying to insult you.
JAKE, And instead you gave me an amazing life hack! I’m smiling because I met someone and I think she may be my soulmate.
JAKE, Do you have these in any other color?
HENNA, Maybe in the back. I don’t know. I’m really lazy.
JAKE, Nice. ‘Sup?
AMY, She sounds charming.
JAKE," I know, right? She’s basically Garfield in a hot lady’s body. I’ll take her out for lasagna!"
JAKE," Oh no, Amy, this is embarrassing. I didn’t get you anything. Wait... I did get you something. A nice fresh hot cup of coffee. He hands her a CUP OF COFFEE from off his desk."
AMY," This is cold and it’s tea from yesterday. The present is for Captain Holt. It’s one of six gifts I got him, representing each of the six lessons he’s taught me: determination, wisdom, posture--"
HOLT," Excuse me, everyone. As you may know, it is the holiday season. Detectives sometimes feel the urge to buy their captains holiday presents. Please refrain from doing that. Under no circumstances do I want a present. Peralta, my office."
AMY, Oh god. I have to return so many items.
HOLT," Thank you for joining us, Peralta. This is Deputy Chief Gerber."
JAKE," Merry Christmas, Chief. And a very merry Christmas to you, Captain. Ho-ho-ho!"
GERBER, Captain Holt has received a number of death threats.
JAKE, Oh! I really came in here with the wrong energy.
HOLT, Captains receive meaningless threats all the time. It’s not a big deal.
JAKE," Of course, no, totally. Why would a death threat be a big deal? Oh right, because it threatens death."
HOLT," It’s a hoax. I don’t want to alarm the squad, so please keep this between us."
JAKE, Awesome. I love secrets! Santiago got you like six presents.
GERBER, Protocol dictates Captain Holt must have a security detail with him at all times. He has chosen you for that detail.
JAKE, Interesting. And not at all surprising. I’m his favorite. Now what exactly does that job entail?
GERBER," You’ll be assigned to Captain Holt. You’ll be entirely in control of his movements. He will not leave your sight. You have the authority to make decisions you feel are in the best interests of his safety. Basically, you will be completely in charge."
JAKE, Mmm hmm. Yes. Interesting. Omigod. This is amazing.
JAKE," Well. I would gladly put my life at risk for this man...to have to follow all my orders. Thank you. This is the greatest Christmas ever. God bless us, everyone!"
CHARLES," Hey, my flight is at eight tonight. It’s domestic. Do you think I’ll be safe if I get to the airport five hours early?"
GINA, I would give yourself at least seven.
Charles, “You’re right.”
GINA, Why are you going on a singles cruise anyway? I thought you were into Rosa.
CHARLES," Well, I am. But I’ve begun to feel like there is a small chance Rosa may not love me back."
CHARLES," Hey, you wanna grab some dinner tonight?"
ROSA, That’s nice. And I like you as a person. But I’m just not interested in you romantically.
CHARLES, Coolio.
CHARLES, Whattaya say we grab a drink?
ROSA," Again: that’s sweet. But I’m not into you that way, and I have a boyfriend."
CHARLES, Gotcha! Raincheck.
CHARLES," A rose for Rosa. You know, romantic chemistry is really --"
ROSA, -- something that I have with my boyfriend. Listen to me: the healthy thing for you to do is move on.
CHARLES, Your touch is electric.
ROSA, Move. On.
CHARLES, So we’ve both decided that the healthy thing for me to do is move on.
GINA," I’m impressed, Boyle. That’s very mature."
CHARLES," Thanks. You know, I kind of just realized--"
GINA," Oh I’m sorry, that wasn’t an invitation to keep talking."
CHARLES, Gotcha. Raincheck on that convo.
AMY," Peralta’s busy, so let’s just get started. Now, the captain won’t allow us to give him all the presents we bought him--"
ROSA, You’re the only one who did that.
AMY," --but, we can make him the greatest Christmas card of all time! We’re going to wear Santa hats and big sweaters and take a picture of all of us in a line-up."
TERRY," Sorry, Santiago, I don’t have time for that. My psych evaluation is today. They’re gonna decide if I’m ready to go back on the streets."
GINA, Why do you care what they think? Psychologists are just people who weren’t smart enough to be psychics.
AMY," Don’t worry, Sergeant -- we’ll add you in later."
CHARLES," Uh, I have to go, too. My flight’s in... Oh boy. Eight hours. I can make it, I’ll just buy a sandwich on the plane."
ROSA," So, if Boyle, Peralta, and the sergeant are out--"
AMY," Gah, fine, everyone just go. Everyone starts to file out."
GINA, I could take a picture of myself dressed as an elf. Elfie-selfie!
HOLT, Are you going to sit there all day?
JAKE," Affirmative, Stone Eagle. That’s the Secret Service codename I gave you. I’m just doing my job: watching, protecting, bossing you around. Now, for your"
JAKE," Whoa whoa whoa -- where are you going, Cold Mountain? I changed your codename."
HOLT, To use the restroom.
JAKE," I’m only asking this for your safety: is it a number one or number two? Your silence indicates number two. Jake heads to the door, opens it a tiny crack and peers out."
JAKE," Coast is clear, sir. Go go go! Holt slowly walks out. Jake watches him go."
JAKE, Cold Mountain is on the move. Cold Mountain is rolling to the can.
HILLARY," Okay, Sergeant Jeffords, thank you for coming in. We’re here to assess your readiness for active duty. If all goes well, I’ll stamp the release form and you can go back in the field."
TERRY, I think I’m ready. I’m no longer fixating on my fears.
HILLARY," Good, good. But today, let’s fixate on those fears."
TERRY, Okay. That sounds... fun.
HILLARY," Let’s begin by talking about your baby girls, and your wife, and what would happen to all of them if you died in the line of duty? was on the couch. There is stuffing on him."
TERRY, ...I popped your pillow.
JAKE, Well well well. We meet again. Where exactly do you think you’re going?
HOLT, Your constant hovering is going to draw attention to the situation. The last thing I want is for the rest of the precinct to get involved. I’m going home to work in peace.
JAKE," Negative, Ice Veins -- I changed your code name again -- you’re not going anywhere."
HOLT, Do you know why I picked you to be my security escort?
JAKE," Because I am a 21st century Sherlock Holmes. Boyle is my Watson, and Santiago is my Moriarty. I will defeat her."
HOLT," I chose you because the threat is not real, and I thought you’d have no problem breaking the rules and letting me do my work. Now, let me go."
JAKE, Okay. But your house is off-limits -- protocol. If you really want to get out
HOLT, Fine. We will go to your mother’s place. I guess I am curious to see where......this all started.
JAKE," You’ll love it. She has a great internet connection. Not bragging, just true."
JAKE," Soooo, this is my mom’s house. Just throw your coat in the closet."
HOLT, That’s a bathroom.
JAKE, ...Water closet. My mom is British.
HOLT, Why are there no pictures of you? And no holiday decorations? And nothing but motel art... This isn’t your mom’s apartment.
JAKE," It’s a safe house, son! You been protected!"
HOLT, Get out of my way. I’m leaving.
JAKE," You refused to stay at your desk, you evaded your protection detail. Sorry: I’m ordering you to stay. God, I love giving you orders!"
HOLT," If you want me to stay, you’re going to have to physically stop me. Can you dothat, Peralta? Didn’t think so."
JAKE, Oh no! We’re handcuffed together and we’ve lost the key! Falconer One to HQ: Stone Eagle is in the cage. Repeat: Stone Eagle is in the cage.
HOLT, I told you the death threat was not serious. So: what. On Earth. Are you doing?
JAKE," I know you think I’m just goofing around, but I was ordered to protect you -- by your boss. From here on out, we are in lockdown."
HOLT, Fine. But before we go into lockdown --
JAKE," Too late, you’re in it."
HOLT, I’d like to text my husband and tell him I’ll be coming home late.
JAKE," Fine. But for security reasons, I get to craft the message."
JAKE," Let’s start with a nice greeting, like “Hello, honey.”"
HOLT, You’re not crafting the message.
JAKE," Copy that -- “honey” isn’t right. “Hello, husband?” “Hello, sir?” You call each other ‘sir’?"
HOLT, Give me my phone.
JAKE, Fine. I’ll give you some privacy.
AMY," Maybe, put Scully’s head on top of the tree like an angel? Nah. Put it behind the tree. Thanks for helping me make this card. You’re so good at this stuff."
GINA, I know. I’m good at everything. Here’s every picture we have of Rosa. Which face should we use?
AMY," Uh, she never smiles. Is her mouth broken?"
GINA, How about we...flip those lips!
AMY, Oh god. *
GINA, Yikes. That’s horrifying.
AMY, This is awful. We need to get a picture of Rosa smiling. Holt’s card has to be perfect.
HITCHCOCK," Guys, I got this. I can make Rosa smile. Keep your cameras ready."
HITCHCOCK, Making coffee? Can you make another cup for -- Señor Tickle and his nueve amigos? Hitchcock holds up his hands. Gina and Amy realize what’s happening.
AMY ," Hitchcock, no! *"
GINA, So creepy!
HITCHCOCK, Tickle tickle tickle aarrrghhh -- !
ROSA," What the hell, Hitchcock?"
HITCHCOCK, Ow ow ow. You sprained Señor Tickle.
ROSA ,Next time I break it off.
JAKE," Okay, my safe house, my rules: this is a no-tie zone."
JAKE, Aaaaaah.
HOLT," So this is the plan, you’ve got a little bit of power and you’re going to lord it over me?"
JAKE, Oh no. This is all part of a detailed security protocol. Phase one: no ties. Phase two: sandwiches.
JAKE, A hungry safe house is an unsafe-safe house.
JAKE, It’s terrible! Try it.
JAKE, A fun safe house is a safe-safe house.
JAKE, I win.
HOLT, Impressive.
JAKE, A “Safe House”-watching safe house is a safe-safe-house-house!
HOLT, I’ve already seen the movie. I enjoyed it.
JAKE, Wow. I would not have guessed that. Those are the kinds of things you find out when you’re handcuffed together. And that is the true meaning of Christmas.
JAKE, Who knows we’re here?
JAKE, Get behind me.
HOLT," Standard protocol would have you put me in another room before opening the door, but since you cuffed us together..."
JAKE, I order you to be quiet.
JAKE, Just - ugh. You go there. No I’ll be here.
HOLT," I can’t. The handcuffs. You go here, I’ll go--"
JAKE, Hands in the air!
CHARLES, Aaaaagh! Jake it’s me Charles from work!
TERRY," ...and then Toni Morrison and Terry Bradshaw would hand my wife a folded-up American flag, and hold each other and cry. That would be my perfect funeral."
HILLARY," Okay. Let’s switch gears here, and do some word association. What do you think of when I say the word: ”bottle”?"
TERRY," Liquor store, hold up, gun, die."
HILLARY, How about: “grass.”
TERRY," Marijuana, drugs, gun, die."
HILLARY, Mm-hmm. And the word: “cat”?
TERRY," Kitten, cute, calm, false sense of security, gun, die. Hillary slowly reaches over and closes the INK PAD for the rubber stamp."
TERRY, What are you doing? Are you going to stamp my form?
HILLARY," No, I just don’t want the ink to dry out."
JAKE," Charles, what are you doing here? I thought you had a plane to catch."
CHARLES," I do. My flight is in six hours! But the Captain texted me to come, so I’mhere."
JAKE," I can’t believe you texted Boyle when you said you were texting your husband! As the person who is completely in charge here, I’m very disappointed in you. I’m changing your code name to Bad Boy."
HOLT, I can’t imagine what it’s like to be disappointed by someone under your command.
JAKE, I see what you’re doing there. Tushy.
HOLT, It’s touché.
JAKE," Well, I’m in charge and I like to say tushy. Charles?"
CHARLES, ...I’ve heard it both ways. Please don’t involve me in this. I’m just here to uncuff the captain and take him to his old precinct like he asked.
JAKE, What? Wait a minute. Old precinct? You weren’t going home. You were going to investigate the threat... because it’s not a hoax. It’s real.
HOLT, Wrong. It’s not real.
JAKE," You’re lying! You have a tell. When you lie, the corner of your mouth moves. And it just moved."
HOLT, It’s not real. The corner of his mouth twitches almost imperceptibly.
JAKE, You’re lyiiiiinngggg!
HOLT," Fine. I believe the threat is real, though I’m not sure who’s behind it. But it’s my problem, and I need to solve it on my own. Boyle: uncuff me."
JAKE," Don’t do it, Charles. I’m your best friend slash idol. Don’t make me just your idol!"
HOLT, Un-cuff me. That’s an order.
JAKE, Don’t do it... best friend.
CHARLES," Ugh, this is just like Christmas at my parents’ house. Why did they have separate dining rooms?! I-- don’t -- Aaaaaah!!!"
JAKE, NO!
HOLT, NO!
JAKE, That was not one of the options!
CHARLES, What happened? I blacked out.
JAKE," So including letters, emails, and texts from a blocked phone, you’ve received ten threats. How many people have you put away that might want to kill you?"
HOLT, I’ve arrested over 600 people.
JAKE," Brag. Charles, read the transcripts of the threats he’s received."
CHARLES," “Die, Die, Die,” “Die, Holt, Die.”"
JAKE, Kind of obvious. Lame.
CHARLES, “You will drown in your own blood.”
JAKE, Better. I would’ve gone the “stapling your face onto my face” route.
CHARLES, Human skin mask. Classic. The next one is: “I’m going to send you off the deep end.”
JAKE, That’s strange. “Drowning” and “Deep end.“ It’s like he’s talking about a swimming pool.
HOLT, It’s Haimes.
JAKE, A-ha! Who’s Haimes?
HOLT, Collin Haimes. The “Free-Style Killer.” * He took out an entire 4x100 meter swim relay team in 1982. 
YOUNG HOLT, Marco. Now you say “Polo.” Punk.
JAKE, The Free-Style Killer?! Why did all the killers you caught have such cool names? The best one I ever arrested was Narrow Shoes Sam. Because --
HOLT," His shoes were narrow, and his name was Sam. I get it."
JAKE," Looks like you need us. Together we figured out it was Haimes, and together we’re going to find him, because together, we can do anything."
HOLT, I’m finding Haimes alone. Without you.
CHARLES," Comin’ back at you, Jakey!"
AMY," Oh my god! Rosa! I accidentally opene your mail. Look what it says... “Dear Miss Diaz, you just won --”"
GINA," Rosa, I just opened your mail by accident. “Dear Miss Diaz...”"
AMY," I’m reading the letter, you’re taking the picture."
ROSA," Ha! I get it. You were trying to get me to smile for your dumb card, but you messed up."
AMY, You smiled! She’s smiling! And no one has a camera.
SCULLY," Got it, Amy! Got a picture of you frowning. That’s what you wanted, right?"
JAKE, Move your arm.
HOLT," Peralta. For the last time, we do not need to go to the precinct. I don’t need everyone’s help."
JAKE," Captain, you’re stubborn and that’s an adorable quality. But you know what’s not an adorable quality?"
JAKE, Being dead. *
CHARLES," Acne. Yup, being dead."
JAKE, I give up! What is going on? Why are you being so weird about this?
HOLT," I don’t want to involve you, or Boyle, or anyone else, because I brought this situation on myself. No one should get hurt because of a dumb mistake I made as a brash, young detective."
YOUNG HOLT," Hey, Haimes. You’re gonna spend the rest of your life in a little cement room doing nothing. And while you’re in there, I’m gonna go for a swim. An  after that swim I might take another swim. And you’ll just be sitting there on your metal toilet, thinking of me swimswim-swimming all day long."
YOUNG HAIMES," When I get out of lockup, I’m gonna hunt you down and kill you."
HOLT, Yeaaaaaah right.
JAKE, Wow. I think I would have really gotten along with Young Ray Holt.
HOLT, Yes. That’s why I decided to change everything about my life.
JAKE," Well, frankly, right now you’re acting like that same brash dumb detective. If you’d really changed, you’d be saying boring responsible stuff like: “Don’t be stupid. Let the detective squad help you. You’re part of a team. I smell like sandalwood.”"
CHARLES, That’s what it is! Holt sighs. Jake has a point. The room is a COMMAND CENTER. People BUSTLE AROUND. Charles and Rosa work on laptops and talk on the phone. Scully and Hitchcock are in the back of the room. Holt and Gina sit in
AMY," Sir, I’m sure you had your reasons for going to Peralta, but this is exactly the type of job I would love to have."
HOLT," Okay. Next time someone threatens to kill me, I’ll come straight to you."
AMY," Thank you, sir. I can’t wait. I didn’t mean -- let’s catch this bastard. Jake walks to the front, large and in charge."
JAKE, Updates. Let’s go. Santiago?
AMY, Looking into Haimes’ known associates. Nothing yet.
JAKE, Boyle?
CHARLES, Got some intel coming in from Ossining. Haimes was released two weeks ago.
JAKE, Scully and Hitchcock -- where are we on your special project?
SCULLY, The hazelnut coffee will be up in five minutes.
HITCHCOCK, And the Sumatran is ready to go. Scully and Hitchcock high-five each other.
ROSA, Warrant for the phone trace came through. We got Haimes’s number... and the last coordinates from its GPS.
ROSA, The rail yards.
JAKE," Got him! All right, everyone. Suit up. I know there’s no point in telling you not to come. But you’re staying with me."
HOLT," Oh, goodie."
JAKE, Man. You really take the fun out of saving your life. Let’s hit it! They all CHARGE OUT -- leaving Scully and Hitchcock.
SCULLY," You heard him, Hitchcock! Get that Sumatran in a Thermos!"
HITCHCOCK, On it! They storm off.
JAKE," Okay. Haimes is armed and dangerous, so remember: watch your six, keep the radio open, and Santiago -- try to channel your lust for me into your police work. There’s too much at stake."
JAKE," If things go south, I want you to know: it was an honor being able to order you around."
HOLT, Anything else?
JAKE, Yes. What cute little nickname do you call your husband?
HOLT, Kevin.
HOLT, We have to flush him out. We have his number now -- call his phone.
JAKE, It’s ringing. This is so exciting! That’s Haimes’s phone. Converge on that amazing ring tone. This guy is awesome.
HOLT, He is trying to kill me.
JAKE, Yes. I knew there was something.
AMY, He’s heading north on track 17.
JAKE," When this is over, we should take a train trip together. Just for fun."
HOLT, Go go go!
HAIMES, Ray Holt! Holt and Jake turn around.
HOLT," Hello, Haimes."
JAKE, I’m Peralta. Not a big deal. Put the gun down!
HAIMES," I thought about you every day I was in jail, just like you said. I thought about pointing a gun at you and pulling the trigger, kind of like this -- Haimes is about to shoot. Jake RAISES HIS GUN --"
TERRY, Nooooooooo!
TERRY, Terry’s back! Terry’s back!
JAKE, We got him! We got him!
HOLT," Nice job, Jeffords! Nice job, Peralta!"
JAKE," Oh my god, sir. It’s happening -- you’re emoting."
ROSA, I need an ambulance. Boyle’s down!
ROSA, He got shot in the ass.
CHARLES, Am I dead? What happened?
ROSA, You saved my life.
CHARLES, Myyyyyyy buuuuuuuuuuuutttttt!
ELAINE, He’s going to be fine. You can see him in a minute.
AMY, I’m so glad the shrink cleared you.
TERRY, Mmm. More or less.
HILLARY," Okay, time’s up. Show me your tree. Oh no..."
TERRY, Yeah...it’s pretty bad. The door opens and Gina enters.
HILLARY, Excuse me. We’re in the middle of --
GINA," Can it, quack. Captain Holt’s life is in danger and he needs your help. Terry grits his teeth. Stands up."
HILLARY," Sergeant, I’m not sure you’re ready -- Terry stamps the paper dramatically."
TERRY, I’m ready. He storms out. Gina turns to Hillary.
GINA, Kay bye!
TERRY, I owe you one. Woo! Terry’s back!
HOLT, Boyle got shot because of me. This is exactly the kind of thing I wanted to avoid.
JAKE," Captain, this is our job. Any one of us would’ve taken that bullet."
HOLT, I’m sorry I made this so difficult. You were right. We couldn’t have caught him without the team.
JAKE, Oh ho. It appears the student has become the teacher. And the teacher has become--
HOLT, That’s enough. Thank you.
JAKE, You’re welcome. Team pop and lock! Still?! Come on! We saved your life. Oh my god! We did it! Oh my god!
CHARLES, Everyone should go home and enjoy their Christmas. You don’t have to stick around here for me.
JAKE, We’re not going anywhere. What you did was amazing!
AMY," For real, Boyle. That was some Superman stuff you pulled."
HOLT, You did the Nine-Nine proud.
JAKE," No ifs, ands, or butts. Sorry, it’s just right there. Literally -- your butt is right there, in my face."
CHARLES, I have to tell you guys something. Even though I got shot--
JAKE, In the butt. Sorry.
CHARLES," I’d rather be here, spending Christmas with all of you than on some stupid singles cruise. And I mean that from the bottom of my--"
JAKE," Butt, again sorry-- Ow."
ROSA," Shut up, Jake. Boyle’s a hero. And so is his butt."
AMY, Got it! You smiled! Holiday card complete!
JAKE," He got shot in the butt. Nooooo, strong lady"
Kake," [Knocks] Hey, Cap'n, got a second?"
Holt," It's ""Captain."""
Jake, What did I say?
Holt," ""Cap'n,"" like Cap'n Crunch."
Jake," All right, but to be fair, Cap'n Crunch was a war hero and the primary male role model in my house, growing up, so... Anyways, cap-tain, you know that jewelry store robbery down by grand army Plaza?"
Holt, Mm-hmm.
Jake," I know who did it... Dustin Whitman. I put him in Rikers two years ago. He just got out, and the crime scene matches his M.O. perfectly."
Jake," Okay, what do we got?"
Officer," Well, security cam shows a male suspect, 5'9""..."
Jake," Wearing a black ski mask. He bypassed the McConnell alarm by using the magnetic kill switch. And he only stole diamonds, nothing over two carats."
Officer," Yeah, exactly. How'd you know?"
Jake," I'm a Detective. It's what I do. I'm just kidding. I need a lot more information. But that would've been a great exit line, right?"
Jake," The crime techs aren't done yet, but I'm 100% sure it's Whitman."
Holt," Well, let's see what kind of physical evidence they turn up, and then we can talk arrest."
Jake," Actually, hilarious story. So that is Dustin Whitman. (WHITMAN SITS IN HOLDING)"
Holt," You already arrested him? With insufficient evidence? By law, we have 48 hours to find that evidence, or we have to let him go. You just started the clock."
Rosa, What's up with this emergency meeting?
Terry," Whoa, Detective Santiago."
Amy, Big date tonight. How do I look?
Jake," Well, I think you look... [Donkey braying] Sorry, that was supposed to be a catcall. I don't know how this works."
Rosa," Hey, is this why you were getting makeup tips from the prostitute in the holding cell?"
Amy, I just wanted to know how she got such smoky eyes. Turns out it was an STD rash.
Holt, Detective Peralta has made a collar in the jewelry store heist.
Charles," Way to go, Jakey."
Jake," Ah, that's okay."
Holt," No. He didn't get sufficient evidence to make it stick, so we have the next 48 hours to fix his mistake."
Amy," Damn it, Jake. What evidence did you have when you arrested this guy?"
Jake, Some pretty ironclad stuff.
Jake," Dustin, it's been a while. Mind if I ask you a few questions?"
Dustin," Well, well, well, if it isn't joke Peralta. [Laughs]"
Jake," That's it, you're under arrest."
Jake, Case closed?
Holt," If we don't find something conclusive, it jeopardizes the case and opens the department up to a lawsuit. So cancel your plans. We're here until this is over."
Amy," Damn it, Peralta."
Jake, Ow!
Holt, I know everyone's mad at Peralta for ruining their weekend.
Jake, But?
Holt, That was it. I was just demonstrating for Detective Peralta what a fact is.
Holt," Terry, you just pulled two doubles. You must be tired. I'll stay for this Whitman debacle. You go home."
Terry, I'm not tired. Why would you think I was tired?
TERRY," I ended up doing 25 minutes of sleep chin-ups on muscle memory alone. Tired Terry still gets after it, that's all I'm saying."
Rosa," Hey, Gina, can you order food for us at the Flatbush Diner? They make the best pies in New York City."
Gina," Oopsie, you said something super dumb. The best pie in the city's at Crust."
Rosa, Wrong. Ignorant and wrong.
Gina," Uh, you think you can just bully people, but you can't. It's not okay. I'm the bully around here, ask anyone."
Rosa," Boyle, you're always blogging on that foodie website. Which pie's better?"
Gina," Yeah, whose do you like better, mine or Rosa's?"
Charles," Oh, uh, you know, I-I haven't been to either place yet."
Gina, Why is your eye twitching?
Charles, [Scoffs] Wouldn't you like to know?
Gina, Could I see you for a second in the evidence lockup?
Gina," Charles, I know what's going on. You've tried both pies. You know mine is better. But you're scared to tell Rosa, 'cause you're into her."
Charles," What? [Laughs nervously] That is not true, okay? I-I-I don't even like food."
Gina, What?
Charles, Who's Rosa? Y-you're the scared one.
HOLT, Planning your strategy?
Jake," No, I'm just making funny faces at him. This mirrored glass is awesome. It straight-up works."
Holt, An effective use of your limited time.
Jake," It is, actually. That's how I got him last time. Let him stew for a little bit, got in his head, and he confessed."
Holt, You better be right.
Jake," I am. Hey, make some funny faces while I'm in there. I wanna see if I can tell."
Dustin," I didn't do anything, joke."
Jake," [Mouthing] That's funny. You said the exact same thing last time. And how'd that work out for you? Let's take a look. Okay. Here's you at your trial. You in prison. Me meeting Regis Philbin. That was fun. You still in prison. Me at Splash Mountain, just pepper these in here. You in prison, you in prison, you in prison, you get it."
Dustin, You got the wrong guy.
Jake, All right. Not ready to confess? Fine by me. I got all the time in the world.
Dustin," No, you actually have 48 hours. I know the law."
Jake, Nuh-uh.
Jake walks into the bullpen," So looks like we're gonna be here for a while. Should someone do a coffee run? You know what? Coffee's on me. Oh, but no froofy frappuccinos or anything, I've only got, like, 10 bucks. Okay."
Holt," Rise and shine, detectives, rise and shine. Peralta, I want you to bring everyone up to speed."
Jake," You slept in your office, and you look exactly the same. How?"
Holt, What are you talking about? My hair is a mess.
Jake," Oh, yeah."
Holt," Briefing room, five minutes."
Charles, How long were we asleep?
Terry," Just long enough for me to squeeze in quick workout. So, like, three hours."
Rosa, Morning. (ROSA WALKS IN SITH A COFFEE LOOKING GOOD)
Jake, Ugh. I can't believe you live nearby and you won't let anyone crash at your place.
Rosa, You people already know too much about me.
Jake," I know exactly three facts about you, and one of them is that you won't let any of us crash at your place."
Rosa, Is that a nightgown?
Terry, That's mine. It's a t-shirt from my fat phase.
Jake reads the shirt," ""If at first you don't secede, try try again."""
Terry," When you're that big, you buy anything that fits. A lot of fat guy clothes have racist overtones."
Jake," Okay, a couple of quick announcements. First, I met our night janitor Ronald. If any of you are missing hand sanitizer, he drank it. Second, our warrants finally went through. We gotta place Whitman at the scene and prove that he either possessed or sold those diamonds."
HOLT," I know you're all tired, but don't forget why we're here."
Jake, Because we're dedicated detectives.
Holt, Because Peralta jumped the gun.
Jake, Yep.
Holt, Get to work.
Jake, So we both had good answers.
Amy, This isn't a joke. You're ruining our weekend.
Jake," Okay, I'm sorry you had to cancel dinner with your dad."
Amy, Date. I had a date.
Rosa," Hey, if Jake says the guy did it, that usually means the guy did it."
Jake, Thank you. Everyone listen to Rosa.
Rosa," No, I'm still furious at you."
Jake," Okay, no one listen to Rosa. She's clearly an accomplice to this crime. I'm gonna go take another crack at Whitman."
Amy," You've been in there, like, five times. What are you gonna do? Annoy him into talking?"
Jake," Ha, ha."
JAKE WITH A GUITAR," Two, three, four. [Strumming guitar out of tune] Aah! [Shrieking]"
Jake walks in the briefing room handing Terry the guitar, Didn't work. Thank you. Did not work.
Jake," Hey, Captain. Will you please let everyone else go? I feel bad that I ruined their weekend, and I can tell they're pissed at me. I mean, Charles hasn't tried to high-five me all morning."
Holt," Yes, I've taken the brunt of that."
Charles, Kitchen buds.
Holt, Are you sure Whitman did it?
Jake," Yes, I'm positive."
Holt, Then the whole team stays. We have a better shot with everyone on it.
Jake," Fine, will you at least tell Hitchcock to go home? His mouth smells like rotten trout milk."
Holt, Is there such a thing?
Jake,'I'm just telling you what it smells like.
Holt, Get out.
Jake, Do you have the bank records?
AMY, Mm-hmm. Good thing I didn't reschedule my date for tonight. We're never leaving here.
Jake," Well, maybe that's a good thing, you know? Saved you from another lame internet date with some lame guy named Dirk or Mar... garine."
Amy," He's not lame, okay? He works with a friend of mine. He has a human name. And I'm not telling you what it is, because you'll look him up and make fun of him."
Jake, I can't believe you think so little of me that you would just automatically assume... Is it Luke Mueller?
Amy, How did you do that?
Jake," Well, you only have one friend... Kylie. And she has seven male coworkers. Goatee, goatee, jaunty fedora, profile pic is a sunset, Tasmanian devil tattoo, goatee. Leaving Luke as the only viable option."
Amy," Well, he's nice, and he uses proper punctuation in texts."
Jake, Dreamboat. And I wanted to go out with him.
Jake, All right. You know what? Reschedule for tonight. I promise I will get us out of here in time.
Amy, Fine. I'm holding you to that.
Rosa, Where's he taking you?
Amy," Terrific, let's get everyone involved. Dinner and a movie."
Rosa, [Farting noise] (Rosa walks away)
Amy, Dinner and a movie is the perfect first date.
Charles," I think the perfect first date doesn't feel like a first date at all, because you've known each other for a few years, maybe even work together. And one night you're laughing, and then all of a sudden, it's just like blammo! Kissing."
Rosa," For me: Cheap dinner, watch basketball, bone down."
Charles, So pretty much the same as what I said.
Rosa," None of the partials match Whitman. If he did it, he didn't leave any prints."
Charles, Maybe he doesn't have any. Interesting fact about me... I once burnt my fingerprints off on a wok.
Gina," Hi, hello."
Charles, What are you doing? Holt said you didn't have to come in here. You don't come in on days you're supposed to work.
Gina," Because I'm so nice, I brought two pies. One is from Crust. And one's also from Flatbush Diner. Hey, you know what might be fun? Charles could try them and tell us which one is better. How fun is that?"
Charles, So fun.
Gina," Yay! Yum, yum, yum. Yummy."
Terry," You got a second, Captain? I've got these overtime forms for you to s..."
Holt, Are you stifling a yawn?
Terry," No, sir."
Holt," Go home, sergeant."
Terry," I'm fine. And I filled this out. I just need you to... Permission to yawn, sir."
Holt, Go home.
AMY," Please, I'm begging you."
Jake,"  [Sniffs] Oh, fair enough."
Amy, Yeah. [Chuckckle]
Jake, That's for women. These your glasses?
Amy, Mm-hmm.
Jake, They're gigantic.
Amy," My contacts dried out, thanks to you. And they're cool."
Jake tries them on," No, they're not. Wow, you are blind blind."
Amy, Yeah.
Jake, You're a blind cop. How has there not been a made-for-TV movie about your struggles?
Amy, Give those back.
Jake," Yeah, okay. Wait a minute. I did it. I got Whitman, dead to rights."
Amy, I can still make my date?
Jake," As I promised. Go get changed. And by that, of course I mean throw your glasses in the garbage, then get laser surgery, then recuperate... And she left the room."
